REF,NomTisane,NomLatin,Provenance,OrganeProducteur,Sb,Properties,Indications,ContreIndications,Note,Description
1,Achillée millefeuille,Achillea millefolium,Europe,Fleurs,Flavonoïdes;Lactones sesquiterpéniques;AlcaloÏdes;Achilléine;Triterpènes;Polyines;Coumarines;Acide salicylique;Camphre;Linalol;Sabinène;Proazulènes;Tanins,Antispasmodique;anti-inflammatoire;cholagogue;hémostatique;cicatrisante;apéritive;digestive,Crampes menstruelles;Crampes intestinales;Dysménorrhées;Aménorrhée;Troubles de la ménopause;Hémorroïdes;Régulation du cycle menstruel;Troubles digestifs,Allergies aux astéracées;Femmes enceintes; Femmes allaitantes;Jeunes enfants,"En infusion: 6 grammes pour 200ml d'eau frémissante. Laisser infuser 10 minutes. 3 à 4 tasse par jour.
En décoction (usage externe): 12 grammes pour 200ml d'eau. Faire bouillir 3 minutes, puis infuser 10 minutes. Laissez tiédire. Nettoyez vos plaies ou faites des compresses en cas d'hémorroïdes.","Découvrez les bienfaits de l’Achillée Millefeuille, une tisane européenne réputée pour ses propriétés antispasmodiques, anti-inflammatoires et digestives. Riche en flavonoïdes, lactones sesquiterpéniques et tanins, cette infusion est idéale pour soulager les crampes menstruelles, les troubles digestifs et réguler le cycle menstruel. Grâce à ses vertus cicatrisantes et hémostatiques, elle est également efficace contre les hémorroïdes. À consommer avec précaution si vous êtes allergique aux astéracées, enceinte, allaitante ou pour les jeunes enfants. Préparez une tasse en infusant 6 grammes de fleurs dans 200 ml d'eau frémissante pendant 10 minutes. Profitez de 3 à 4 tasses par jour pour un bien-être optimal.
"
2,Alchémille,Alchemilla vulgaris,Europe,Feuilles,Flavonoïdes;Tanins;Triterpènes;Acide salicylique,Astringente;Anti-inflammatoire;Cicatrisante,Troubles menstruels;aménorrhée;diarrhéedysenterie;gastro-entérite;plaies (voie externe),Femmes enceintes,"En infusion: 5-6 grammes pour 200ml d'eau frémissante. Laisser infuser 15 minutes. 3 à 4 tasse par jour en cas de diarrhées/gastro-entérite, ou en seconde partie de cycle (post-ovulation) en cas de troubles des règles.
","L’Alchémille, une plante européenne aux feuilles riches en flavonoïdes et tanins, est une tisane idéale pour apaiser les troubles menstruels et les affections digestives. Ses propriétés astringentes et anti-inflammatoires favorisent la cicatrisation des plaies et soulagent les gastro-entérites. Parfaite en période de déséquilibre hormonal ou en seconde partie de cycle menstruel, cette infusion naturelle est une alliée précieuse pour votre santé. À consommer en infusion avec 5 à 6 grammes de feuilles infusées dans 200 ml d'eau frémissante pendant 15 minutes, 3 à 4 tasses par jour selon vos besoins."
3,Aneth,Anethum graveolens,Méditerranée;Proche-Orient;,Graines,Carvone;Limonène,Digestive;Carminative;Diurétique;Anti-vomitive;Antispasmodique,Ballonnements;gaz;troubles digestifs;lactation; vomissement (enfants et adultes);hoquet,Grossesse,En infusion: 1 cuillère à café pour 200ml d'eau bouillante. Laisser infuser 10 minutes. 2 à 3 tasses par jour.,"Savourez la fraîcheur de l’Aneth, une tisane méditerranéenne réputée pour ses propriétés digestives et carminatives. Riche en carvone et limonène, elle soulage les ballonnements, les gaz et favorise une digestion harmonieuse. Idéale pour apaiser les vomissements chez les enfants et les adultes, cette infusion aide également à lutter contre le hoquet. Préparez une tasse en infusant une cuillère à café de graines dans 200 ml d'eau bouillante pendant 10 minutes. Consommez 2 à 3 tasses par jour pour une digestion sereine."
4,Angélique,Angelica archangelica,Europe,Racine,Coumarines;Terpènes;Résines;Bergaptène,Digestive;Apéritive;Antispasmodique;Apaisante,Digestion lente;ballonnements;vertiges;migraines;asthme nerveux;troubles des menstruations,Grossesse;allaitement;Photosensibilisante en raison des furocoumarines. Ne pas s'exposer au soleil lors d'un traitement à base d'Angélique,"En décoction: 6 grammes pour 200ml d'eau. Faire bouillir 3 minutes, puis infuser 10 minutes feu éteint. 1 tasse avant le repas pour ouvrir l'appétit ""apéritive"", ou en fin de repas pour faciliter la digestion.","L’Angélique, une tisane européenne aux racines puissantes, est reconnue pour ses vertus digestives et apéritives. Composée de coumarines et de terpènes, elle facilite la digestion lente, soulage les ballonnements et apaise les migraines. Parfaite avant le repas pour stimuler l’appétit ou après pour faciliter la digestion, cette infusion naturelle est également bénéfique contre les vertiges et l’asthme nerveux. À consommer en décoction en faisant bouillir 6 grammes de racine dans 200 ml d'eau pendant 3 minutes, puis infusez 10 minutes à feu éteint. Une tasse avant ou après les repas pour un confort digestif optimal."
5,Anis étoilée/Badiane,Illicium verum,Asie,Graines,Anéthole,Carminative;Digestive,Troubles digestifs;Ballonnements;Digestion lente;Eructations;Flatulences;Encombrement des voies respiratoires,"Grossesse;Allaitement;Enfants en bas âge;Cancers hormono-dépendants (déclarés, antécédents ou prédispostions)",En infusion: 1 cuillère à soupe pour 200ml d'eau. Laisser infuser 10 minutes.1 tasse après chaque repas.,"L’Anis Étoilé, également connu sous le nom de Badiane, est une tisane asiatique précieuse pour ses propriétés carminatives et digestives. Contenant de l’anéthole, cette infusion aide à soulager les troubles digestifs, les ballonnements et favorise une digestion rapide. Idéale après chaque repas pour prévenir les flatulences et améliorer la fonction respiratoire, elle est également efficace contre les vomissements. Préparez une tasse en infusant une cuillère à soupe de graines dans 200 ml d'eau bouillante pendant 10 minutes. Consommez une tasse après chaque repas pour une digestion harmonieuse."
6,Anis vert,Pimpinella anisum,Proche-Orient;Méditerranée,Graines,Anéthole;Méthylchavicol;Flavonoïdes;Stérols;Glucoside,Antispasmodique;Carminative;Digestive;Apaisante,Ballonnements;troubles digestifs;Spasmes de l'estomac;Spasmes intestinaux;Aérophagie;Vertiges;Spasmes utérins;Diarrhées;Flattulences;Ballonements;Asthme;Toux quinteuses;Favoriser la lactation;Migraine liée à la fatigue;Collique du nourrison et de l'enfant,Grossesse,"En infusion: 2 cuillères à café pour 200ml d'eau. Laisser infuser 10 minutes. 2 à 3 tasses par jour. Pour le dosage des enfants, demandez conseil à votre pharamacien.","L’Anis Vert est une tisane traditionnelle du Proche-Orient et de la Méditerranée, célèbre pour ses propriétés antispasmodiques et digestives. Riche en anéthole et en flavonoïdes, elle soulage les ballonnements, les spasmes intestinaux et favorise la lactation. Parfaite pour apaiser l’asthme, la toux et les migraines liées à la fatigue, cette infusion est également bénéfique pour les coliques du nourrisson. Préparez 2 cuillères à café de graines dans 200 ml d'eau chaude, laissez infuser 10 minutes et savourez 2 à 3 tasses par jour. Consultez votre pharmacien pour le dosage chez les enfants."
7,Artichaut,Cynara scolymus,Méditerranée,Feuilles,Cynarine;Acides phénoliques;Flavonoïdes;Lactones sesquiterpéniques,Hépatoprotectrice;Cholérétique;Cholagogue;Diurétique;Digestive;Apéritive,Troubles hépatiques;Ictère;Lithiase biliaire;Intoxication intestinale;Diabète d'origine hépatique;Digestion lente;Certains cas de dermatoses;Obésité;Excès de cholestérol;Goutte;Rhumatismes,Occlusion biliaire;Calculs biliaires;Consultez votre médécin,"En infusion: 6 grammes de feuilles pour 200 ml d'eau bouillante. Prendre un bol avant chaque repas. 
Certes très amère, elle se révèle incontournable pour la santé du foie et de la digestion en général!","Découvrez les bienfaits de la tisane d’Artichaut, une infusion méditerranéenne aux feuilles riches en cynarine et flavonoïdes. Réputée pour ses propriétés hépatoprotectrices, cholagogues et digestives, elle est idéale pour soutenir la santé du foie, favoriser la digestion et réduire le cholestérol. Parfaite pour les personnes souffrant de troubles hépatiques, d’obésité ou de goutte, cette tisane amère mais essentielle se prépare en infusant 6 grammes de feuilles dans 200 ml d'eau bouillante avant chaque repas. Intégrez-la à votre routine quotidienne pour une digestion optimisée et un foie en pleine santé."
8,Aubépine,Crataegus laevigata,Europe,Fleurs;Feuilles,Flavonoïdes;Acides triterpéniques;Acides-phénols;Proanthocyanidines;Hétérosides cyanogénétiques;Tanins,Cardiotonique;Antispasmodique;Sédative,Hypertension;Hypotensions;Anxiété;Palpitations;Arythmie;Troubles de la ménopause;Bouffées de chaleur;Insomnie;irritabilité;Bourdonnement d'oreilles;,Grossesse,"En infusion: 4 grammes de fleurs pour 200ml d'eau frémissante. Laisser infuser 10 minutes. 3 à 4 tasses par jour. Cure de 20 jours par mois.
Il faut du temps pour ressentir les effets de l'aubépine, en revanche, ces bénéfices se poursuivent longtemps après la prise.","L’Aubépine est une tisane européenne précieuse pour ses effets cardiotoniques et sédatifs. Riche en flavonoïdes et en proanthocyanidines, elle aide à réguler la tension artérielle, soulager l’anxiété et les palpitations. Idéale pour les personnes souffrant d’hypertension, d’arythmie ou de troubles de la ménopause, cette infusion apaise également l’insomnie et l’irritabilité. Préparez une tasse en infusant 4 grammes de plante dans 200 ml d'eau frémissante pendant 10 minutes et consommez 3 à 4 tasses par jour, en cure de 20 jours par mois. Patientez pour ressentir pleinement les bienfaits durables de l’Aubépine."
9,Bardane,Arctium lappa,Europe;Asie,Racine;Feuilles,Inuline;Acides phénoliques;Flavonoïdes;Tanins,Dépurative;Diurétique;Sudorifique;Myorelaxante;Antioxydante;Anti-infectieuse;Hypoglécimiante,Acné;Eczéma;Problèmes de peau;Staphylocoques;Furonculose;Goutte;Rhumatismes;Diabète;Insuffisance pancréatique;Contracture musculaire;Infection urinaire,"Femmes enceintes et allaitantes
Personnes souffrant de calculs urinaires/Colique néphrétique.
Allergies aux astéracées","Utilisez des racines fraîches, si possible, les racines séchées ne contiennent que très peu de principes actifs.
En décoction (usage interne): 12 grammes de racines coupées pour 200ml d'eau. Bouillir 5 minutes et laisser infuser 10 minutes feu étaint. 4 tasses par jours. Ne pas conserver plus d'une journée. 
La couleur vert pomme est normale.
En décoction concentrée (usage externe): 200 grammes de racines fraïches pour 1 litre d'eau. Faire bouillir 10 minutes et laisser infuser 10 minutes feu éteint. Nettoyer la peau du visage, du haut du dos et du torse en cas d'acné.
","La Bardane est une tisane purifiante européenne et asiatique, reconnue pour ses propriétés dépuratives et diurétiques. Riche en inuline et en flavonoïdes, elle aide à traiter l’acné, l’eczéma, les rhumatismes et le diabète d’origine hépatique. Parfaite pour détoxifier le corps et renforcer le système immunitaire, cette infusion nécessite des racines fraîches pour une efficacité optimale. Préparez une décoction en faisant bouillir 12 grammes de racines coupées dans 200 ml d'eau pendant 5 minutes, puis laissez infuser 10 minutes. Consommez 4 tasses par jour pour bénéficier de ses vertus purifiantes. Pour un usage externe, utilisez une décoction concentrée pour nettoyer la peau et traiter l’acné."
10,Bleuet,Centaurea cyanus,Europe,Fleurs,Anthocyanines;Flavonoïdes;Polyines;Tanins,Anti-inflammatoire;Astringente,Irritations oculaires;Conjonctivite,Aucune connue,En infusion (usage externe): 2 cuillère à café de fleurs pour 200 ml d'eau frémissante. Laisser tièdir. Puis faites des compresses trempées à déposer sur les yeux.,"Le Bleuet est une tisane européenne aux fleurs bleues, idéale pour ses propriétés anti-inflammatoires et astringentes. Riche en anthocyanines et en tanins, elle est particulièrement efficace pour soulager les irritations oculaires et la conjonctivite. Simple à préparer, il suffit d’infuser 2 cuillères à café de fleurs dans 200 ml d'eau frémissante, de laisser tiédir, puis d'appliquer des compresses sur les yeux pour apaiser et réduire les inflammations. Intégrez le Bleuet à votre routine pour des yeux reposés et protégés naturellement."
